Search Options,job-id,account,max-rss,elapsed,max-witness-size,error,all-states,ntasks-per-node,finish,job-name,iteration,status,mem-per-cpu,start,cpus-per-task,Flags,input,error-output,CliqueNumberSimpleGraphs,width,command,time,conjecture-status,ntasks, Search Type,script-file
 ,4735873,NN9535K,0,00:00:01,4,,7,1,24 12:49:58 CET 2021,34581101,7,DONE,2G,Fri Dec 24 12:49:56 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_3,,3, pw = 1,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581101.txt,14-00:00:00,"Conjecture: Satisfied
",1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581101.sh
-premise,4735874,NN9535K,0,00:00:01,4,,7,1,24 12:49:58 CET 2021,34581106,7,DONE,2G,Fri Dec 24 12:49:56 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_3,,3, pw = 1,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581106.txt,14-00:00:00,"Conjecture: Satisfied
",1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581106.sh
 ,4735875,NN9535K,0,00:00:01,8,,42,1,24 12:49:58 CET 2021,34581110,16,DONE,2G,Fri Dec 24 12:49:56 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_3,,3, pw = 2,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581110.txt,14-00:00:00,"Conjecture: Satisfied
",1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581110.sh
-premise,4735876,NN9535K,0,00:00:01,8,,42,1,24 12:49:58 CET 2021,34581115,16,DONE,2G,Fri Dec 24 12:49:56 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_3,,3, pw = 2,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581115.txt,14-00:00:00,"Conjecture: Satisfied
",1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581115.sh
 ,4735877,NN9535K,4188968K,2-06:02:15,24,"/var/spool/slurmd/job4735877/slurm_script: line 9: 18094 Killed                  /cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search pw = 3 -pl -pdbgn IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581119.txt
slurmstepd: error: Detected 1 oom-kill event(s) in StepId=4735877.batch cgroup. Some of your processes may have been killed by the cgroup out-of-memory handler.
",4471393,1,26 18:52:12 CET 2021,34581119,44,DONE,4G,Fri Dec 24 12:49:56 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_3,Error,3, pw = 3,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581119.txt,14-00:00:00,Not Finished,1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581119.sh
-premise,4735878,NN9535K,4185464K,2-06:01:55,24,"/var/spool/slurmd/job4735878/slurm_script: line 9: 18134 Killed                  /cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search pw = 3 -pl -pdbgn -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581124.txt
slurmstepd: error: Detected 1 oom-kill event(s) in StepId=4735878.batch cgroup. Some of your processes may have been killed by the cgroup out-of-memory handler.
",4471388,1,26 18:51:52 CET 2021,34581124,44,DONE,4G,Fri Dec 24 12:49:56 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_3,Error,3, pw = 3,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581124.txt,14-00:00:00,Not Finished,1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581124.sh
 ,4735879,NN9535K,4194272K,9-12:25:01,41,"/var/spool/slurmd/job4735879/slurm_script: line 9: 18178 Killed                  /cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search pw = 4 -pl -pdbgn IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581128.txt
slurmstepd: error: Detected 1 oom-kill event(s) in StepId=4735879.batch cgroup. Some of your processes may have been killed by the cgroup out-of-memory handler.
",3758146,1,3 01:14:58 CET 2022,34581128,24,DONE,4G,Fri Dec 24 12:49:56 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_3,Error,3, pw = 4,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581128.txt,14-00:00:00,Not Finished,1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581128.sh
-premise,4735880,NN9535K,4194076K,9-12:27:17,41,"/var/spool/slurmd/job4735880/slurm_script: line 9: 18198 Killed                  /cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search pw = 4 -pl -pdbgn -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581133.txt
slurmstepd: error: Detected 1 oom-kill event(s) in StepId=4735880.batch cgroup. Some of your processes may have been killed by the cgroup out-of-memory handler.
",3758140,1,3 01:17:14 CET 2022,34581133,24,DONE,4G,Fri Dec 24 12:49:56 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_3,Error,3, pw = 4,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 4  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581133.txt,14-00:00:00,Not Finished,1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581133.sh
 ,4735881,NN9535K,802692K,14-00:00:2,73,"slurmstepd: error: *** JOB 4735881 ON c3-55 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",255019,1,7 13:28:48 CET 2022,34581137,18,DONE,4G,Fri Dec 24 12:49:56 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_3,Error,3, pw = 5,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 5  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581137.txt,14-00:00:00,Not Finished,1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581137.sh
-premise,4735882,NN9535K,803176K,14-00:00:2,73,"slurmstepd: error: *** JOB 4735882 ON c3-55 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",255012,1,7 13:28:49 CET 2022,34581142,18,DONE,4G,Fri Dec 24 12:49:57 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_3,Error,3, pw = 5,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 5  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581142.txt,14-00:00:00,Not Finished,1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581142.sh
 ,4735883,NN9535K,221384K,14-00:00:2,119,"slurmstepd: error: *** JOB 4735883 ON c3-55 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",54109,1,7 13:28:49 CET 2022,34581146,16,DONE,4G,Fri Dec 24 12:49:57 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_3,Error,3, pw = 6,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 6  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581146.txt,14-00:00:00,Not Finished,1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581146.sh
-premise,4735884,NN9535K,218508K,14-00:00:2,119,"slurmstepd: error: *** JOB 4735884 ON c3-54 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",54101,1,7 13:28:49 CET 2022,34581151,16,DONE,4G,Fri Dec 24 12:49:56 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_3,Error,3, pw = 6,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 6  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581151.txt,14-00:00:00,Not Finished,1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581151.sh
 ,4735885,NN9535K,40176K,14-00:00:2,178,"slurmstepd: error: *** JOB 4735885 ON c3-54 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",7845,1,7 13:28:49 CET 2022,34581155,14,DONE,4G,Fri Dec 24 12:49:56 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_3,Error,3, pw = 7,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 7  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581155.txt,14-00:00:00,Not Finished,1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581155.sh
-premise,4735886,NN9535K,40244K,14-00:00:2,178,"slurmstepd: error: *** JOB 4735886 ON c3-54 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",7836,1,7 13:28:48 CET 2022,34581160,14,DONE,4G,Fri Dec 24 12:49:56 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_3,Error,3, pw = 7,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 7  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581160.txt,14-00:00:00,Not Finished,1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581160.sh
 ,4735887,NN9535K,0,00:00:01,4,,8,1,24 12:49:57 CET 2021,34581164,8,DONE,2G,Fri Dec 24 12:49:56 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_4,,4, pw = 1,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581164.txt,14-00:00:00,"Conjecture: Satisfied
",1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581164.sh
-premise,4735888,NN9535K,0,00:00:01,4,,8,1,24 12:49:57 CET 2021,34581168,8,DONE,2G,Fri Dec 24 12:49:56 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_4,,4, pw = 1,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581168.txt,14-00:00:00,"Conjecture: Satisfied
",1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581168.sh
 ,4735889,NN9535K,0,00:00:01,8,,64,1,24 12:49:58 CET 2021,34581173,19,DONE,2G,Fri Dec 24 12:49:57 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_4,,4, pw = 2,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581173.txt,14-00:00:00,"Conjecture: Satisfied
",1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581173.sh
-premise,4735890,NN9535K,0,00:00:01,8,,64,1,24 12:49:58 CET 2021,34581177,19,DONE,2G,Fri Dec 24 12:49:56 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_4,,4, pw = 2,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581177.txt,14-00:00:00,"Conjecture: Satisfied
",1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581177.sh
 ,4735891,NN9535K,2380K,00:00:55,16,,2515,1,24 12:50:52 CET 2021,34581181,35,DONE,4G,Fri Dec 24 12:49:56 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_4,,4, pw = 3,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581181.txt,14-00:00:00,"Conjecture: Satisfied
",1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581181.sh
