elapsed,error-output,start,job-name,CliqueNumberSimpleGraphs,Search Options,job-id,max-rss,ntasks-per-node,mem-per-cpu,command,error,all-states,ntasks,Flags,account,time,iteration,max-witness-size,finish,script-file,status, Search Type,cpus-per-task,conjecture-status,input,width
14-00:00:0,Error,Fri Dec 24 12:50:22 CET 2021,34616454,3, ,4735915,36016K,1,2G,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616454.txt,"slurmstepd: error: *** JOB 4735915 ON c3-56 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",8196,1, -pl -pdbgn ,NN9535K,14-00:00:00,16,4,7 13:28:50 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616454.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_3, tw = 1
14-00:00:0,Error,Fri Dec 24 12:50:22 CET 2021,34616458,3,-premise,4735916,35960K,1,2G,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616458.txt,"slurmstepd: error: *** JOB 4735916 ON c3-56 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",8196,1, -pl -pdbgn ,NN9535K,14-00:00:00,16,4,7 13:28:49 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616458.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_3, tw = 1
14-00:00:0,Error,Fri Dec 24 12:50:22 CET 2021,34616463,3, ,4735917,89388K,1,2G,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616463.txt,"slurmstepd: error: *** JOB 4735917 ON c3-56 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",16971,1, -pl -pdbgn ,NN9535K,14-00:00:00,10,8,7 13:28:50 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616463.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_3, tw = 2
14-00:00:0,Error,Fri Dec 24 12:50:22 CET 2021,34616468,3,-premise,4735918,89388K,1,2G,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616468.txt,"slurmstepd: error: *** JOB 4735918 ON c3-55 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",16971,1, -pl -pdbgn ,NN9535K,14-00:00:00,10,8,7 13:28:49 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616468.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_3, tw = 2
14-00:00:0,Error,Fri Dec 24 12:50:22 CET 2021,34616473,3, ,4735919,1051540K,1,4G,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616473.txt,"slurmstepd: error: *** JOB 4735919 ON c3-54 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",14806,1, -pl -pdbgn ,NN9535K,14-00:00:00,9,17,7 13:28:50 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616473.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_3, tw = 3
14-00:00:0,Error,Fri Dec 24 12:50:22 CET 2021,34616477,3,-premise,4735920,1047692K,1,4G,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616477.txt,"slurmstepd: error: *** JOB 4735920 ON c3-54 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",14804,1, -pl -pdbgn ,NN9535K,14-00:00:00,9,17,7 13:28:50 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616477.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_3, tw = 3
14-00:00:0,Error,Fri Dec 24 12:50:22 CET 2021,34616482,4, ,4735921,36032K,1,2G,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616482.txt,"slurmstepd: error: *** JOB 4735921 ON c3-54 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",8196,1, -pl -pdbgn ,NN9535K,14-00:00:00,16,4,7 13:28:50 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616482.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_4, tw = 1
14-00:00:0,Error,Fri Dec 24 12:50:22 CET 2021,34616487,4,-premise,4735922,35524K,1,2G,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616487.txt,"slurmstepd: error: *** JOB 4735922 ON c3-53 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",8196,1, -pl -pdbgn ,NN9535K,14-00:00:00,16,4,7 13:28:49 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616487.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_4, tw = 1
14-00:00:0,Error,Fri Dec 24 12:50:22 CET 2021,34616492,4, ,4735923,88876K,1,2G,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616492.txt,"slurmstepd: error: *** JOB 4735923 ON c3-52 CANCELLED AT 2022-01-07T13:28:48 DUE TO TIME LIMIT ***
",16935,1, -pl -pdbgn ,NN9535K,14-00:00:00,10,8,7 13:28:50 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616492.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_4, tw = 2
14-00:00:0,Error,Fri Dec 24 12:50:22 CET 2021,34616497,4,-premise,4735924,88880K,1,2G,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616497.txt,"slurmstepd: error: *** JOB 4735924 ON c3-52 CANCELLED AT 2022-01-07T13:28:48 DUE TO TIME LIMIT ***
",16935,1, -pl -pdbgn ,NN9535K,14-00:00:00,10,8,7 13:28:51 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616497.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_4, tw = 2
14-00:00:0,Error,Fri Dec 24 12:50:22 CET 2021,34616501,4, ,4735925,484344K,1,4G,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616501.txt,"slurmstepd: error: *** JOB 4735925 ON c3-52 CANCELLED AT 2022-01-07T13:28:48 DUE TO TIME LIMIT ***
",10007,1, -pl -pdbgn ,NN9535K,14-00:00:00,9,16,7 13:28:50 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616501.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_4, tw = 3
14-00:00:0,Error,Fri Dec 24 12:50:22 CET 2021,34616506,4,-premise,4735926,485092K,1,4G,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616506.txt,"slurmstepd: error: *** JOB 4735926 ON c3-51 CANCELLED AT 2022-01-07T13:28:48 DUE TO TIME LIMIT ***
",10007,1, -pl -pdbgn ,NN9535K,14-00:00:00,9,16,7 13:28:49 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616506.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_4, tw = 3
14-00:00:0,Error,Fri Dec 24 12:50:22 CET 2021,34616511,5, ,4735927,36012K,1,2G,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_5.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616511.txt,"slurmstepd: error: *** JOB 4735927 ON c3-51 CANCELLED AT 2022-01-07T13:28:48 DUE TO TIME LIMIT ***
",8196,1, -pl -pdbgn ,NN9535K,14-00:00:00,16,4,7 13:28:50 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616511.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_5, tw = 1
14-00:00:0,Error,Fri Dec 24 12:50:22 CET 2021,34616516,5,-premise,4735928,35948K,1,2G,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_5.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616516.txt,"slurmstepd: error: *** JOB 4735928 ON c3-51 CANCELLED AT 2022-01-07T13:28:48 DUE TO TIME LIMIT ***
",8196,1, -pl -pdbgn ,NN9535K,14-00:00:00,16,4,7 13:28:49 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616516.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_5, tw = 1
14-00:00:0,Error,Fri Dec 24 12:50:22 CET 2021,34616520,5, ,4735929,84600K,1,2G,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_5.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616520.txt,"slurmstepd: error: *** JOB 4735929 ON c3-51 CANCELLED AT 2022-01-07T13:28:48 DUE TO TIME LIMIT ***
",15483,1, -pl -pdbgn ,NN9535K,14-00:00:00,10,8,7 13:28:49 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616520.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_5, tw = 2
14-00:00:0,Error,Fri Dec 24 12:50:23 CET 2021,34616525,5,-premise,4735930,84592K,1,2G,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_5.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616525.txt,"slurmstepd: error: *** JOB 4735930 ON c3-51 CANCELLED AT 2022-01-07T13:28:48 DUE TO TIME LIMIT ***
",15483,1, -pl -pdbgn ,NN9535K,14-00:00:00,10,8,7 13:28:48 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616525.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_5, tw = 2
14-00:00:0,Error,Fri Dec 24 12:50:23 CET 2021,34616530,5, ,4735931,1196784K,1,4G,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_5.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616530.txt,"slurmstepd: error: *** JOB 4735931 ON c3-51 CANCELLED AT 2022-01-07T13:28:48 DUE TO TIME LIMIT ***
",5973,1, -pl -pdbgn ,NN9535K,14-00:00:00,9,16,7 13:28:50 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616530.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_5, tw = 3
14-00:00:0,Error,Fri Dec 24 12:50:23 CET 2021,34616536,5,-premise,4735932,1196220K,1,4G,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_5.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616536.txt,"slurmstepd: error: *** JOB 4735932 ON c3-51 CANCELLED AT 2022-01-07T13:28:48 DUE TO TIME LIMIT ***
",5973,1, -pl -pdbgn ,NN9535K,14-00:00:00,9,16,7 13:28:49 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616536.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_5, tw = 3
14-00:00:1,Error,Thu Dec 23 14:00:24 CET 2021,26432119,2, ,4732738,35996K,1,2G,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/triangle-free-iso-bfs-tw/main-script/job-generation/../../program-outputs/26432119.txt,"slurmstepd: error: *** JOB 4732738 ON c3-56 CANCELLED AT 2022-01-06T14:39:00 DUE TO TIME LIMIT ***
",8196,1, -pl -pdbgn ,NN9535K,14-00:00:00,16,4,6 14:39:02 CET 2022,/cluster/projects/nn9535k/farhad/2021/23dec/triangle-free-iso-bfs-tw/main-script/job-generation/../../jobs/26432119.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_2, tw = 1
14-00:00:1,Error,Thu Dec 23 14:00:24 CET 2021,26432123,2,-premise,4732739,35968K,1,2G,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/triangle-free-iso-bfs-tw/main-script/job-generation/../../program-outputs/26432123.txt,"slurmstepd: error: *** JOB 4732739 ON c3-56 CANCELLED AT 2022-01-06T14:39:00 DUE TO TIME LIMIT ***
",8196,1, -pl -pdbgn ,NN9535K,14-00:00:00,16,4,6 14:39:02 CET 2022,/cluster/projects/nn9535k/farhad/2021/23dec/triangle-free-iso-bfs-tw/main-script/job-generation/../../jobs/26432123.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_2, tw = 1
14-00:00:1,Error,Thu Dec 23 14:00:24 CET 2021,26432128,2, ,4732740,474496K,1,2G,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/triangle-free-iso-bfs-tw/main-script/job-generation/../../program-outputs/26432128.txt,"slurmstepd: error: *** JOB 4732740 ON c3-55 CANCELLED AT 2022-01-06T14:39:00 DUE TO TIME LIMIT ***
",25164,1, -pl -pdbgn ,NN9535K,14-00:00:00,9,12,6 14:39:01 CET 2022,/cluster/projects/nn9535k/farhad/2021/23dec/triangle-free-iso-bfs-tw/main-script/job-generation/../../jobs/26432128.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_2, tw = 2
14-00:00:1,Error,Thu Dec 23 14:00:24 CET 2021,26432133,2,-premise,4732741,474496K,1,2G,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/triangle-free-iso-bfs-tw/main-script/job-generation/../../program-outputs/26432133.txt,"slurmstepd: error: *** JOB 4732741 ON c3-55 CANCELLED AT 2022-01-06T14:39:00 DUE TO TIME LIMIT ***
",25160,1, -pl -pdbgn ,NN9535K,14-00:00:00,9,12,6 14:39:02 CET 2022,/cluster/projects/nn9535k/farhad/2021/23dec/triangle-free-iso-bfs-tw/main-script/job-generation/../../jobs/26432133.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_2, tw = 2
14-00:00:1,Error,Thu Dec 23 14:00:24 CET 2021,26432137,2, ,4732742,811868K,1,4G,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/triangle-free-iso-bfs-tw/main-script/job-generation/../../program-outputs/26432137.txt,"slurmstepd: error: *** JOB 4732742 ON c3-55 CANCELLED AT 2022-01-06T14:39:00 DUE TO TIME LIMIT ***
",67065,1, -pl -pdbgn ,NN9535K,14-00:00:00,9,19,6 14:39:02 CET 2022,/cluster/projects/nn9535k/farhad/2021/23dec/triangle-free-iso-bfs-tw/main-script/job-generation/../../jobs/26432137.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_2, tw = 3
14-00:00:1,Error,Thu Dec 23 14:00:24 CET 2021,26432142,2,-premise,4732743,811876K,1,4G,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/triangle-free-iso-bfs-tw/main-script/job-generation/../../program-outputs/26432142.txt,"slurmstepd: error: *** JOB 4732743 ON c3-55 CANCELLED AT 2022-01-06T14:39:00 DUE TO TIME LIMIT ***
",67060,1, -pl -pdbgn ,NN9535K,14-00:00:00,9,19,6 14:39:02 CET 2022,/cluster/projects/nn9535k/farhad/2021/23dec/triangle-free-iso-bfs-tw/main-script/job-generation/../../jobs/26432142.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_2, tw = 3
