CliqueNumberSimpleGraphs,cpus-per-task,ntasks,ntasks-per-node,time,error, Search Type,job-id,all-states,command,max-rss,width,status,Search Options,Flags,finish,script-file,max-witness-size,elapsed,account,input,error-output,mem-per-cpu,start,iteration,job-name,conjecture-status
3,1,1,1,14-00:00:00,,IsomorphismBreadthFirstSearch,4735873,7,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581101.txt,0, pw = 1,DONE, , -pl -pdbgn ,24 12:49:58 CET 2021,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581101.sh,4,00:00:01,NN9535K,../../inputs/CliqueNumberSimpleGraphs_3,,2G,Fri Dec 24 12:49:56 CET 2021,7,34581101,"Conjecture: Satisfied
"
3,1,1,1,14-00:00:00,,IsomorphismBreadthFirstSearch,4735874,7,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581106.txt,0, pw = 1,DONE,-premise, -pl -pdbgn ,24 12:49:58 CET 2021,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581106.sh,4,00:00:01,NN9535K,../../inputs/CliqueNumberSimpleGraphs_3,,2G,Fri Dec 24 12:49:56 CET 2021,7,34581106,"Conjecture: Satisfied
"
3,1,1,1,14-00:00:00,,IsomorphismBreadthFirstSearch,4735875,42,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581110.txt,0, pw = 2,DONE, , -pl -pdbgn ,24 12:49:58 CET 2021,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581110.sh,8,00:00:01,NN9535K,../../inputs/CliqueNumberSimpleGraphs_3,,2G,Fri Dec 24 12:49:56 CET 2021,16,34581110,"Conjecture: Satisfied
"
3,1,1,1,14-00:00:00,,IsomorphismBreadthFirstSearch,4735876,42,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581115.txt,0, pw = 2,DONE,-premise, -pl -pdbgn ,24 12:49:58 CET 2021,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581115.sh,8,00:00:01,NN9535K,../../inputs/CliqueNumberSimpleGraphs_3,,2G,Fri Dec 24 12:49:56 CET 2021,16,34581115,"Conjecture: Satisfied
"
3,1,1,1,14-00:00:00,"/var/spool/slurmd/job4735877/slurm_script: line 9: 18094 Killed                  /cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search pw = 3 -pl -pdbgn IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581119.txt
slurmstepd: error: Detected 1 oom-kill event(s) in StepId=4735877.batch cgroup. Some of your processes may have been killed by the cgroup out-of-memory handler.
",IsomorphismBreadthFirstSearch,4735877,4471393,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581119.txt,4188968K, pw = 3,DONE, , -pl -pdbgn ,26 18:52:12 CET 2021,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581119.sh,24,2-06:02:15,NN9535K,../../inputs/CliqueNumberSimpleGraphs_3,Error,4G,Fri Dec 24 12:49:56 CET 2021,44,34581119,Not Finished
3,1,1,1,14-00:00:00,"/var/spool/slurmd/job4735878/slurm_script: line 9: 18134 Killed                  /cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search pw = 3 -pl -pdbgn -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581124.txt
slurmstepd: error: Detected 1 oom-kill event(s) in StepId=4735878.batch cgroup. Some of your processes may have been killed by the cgroup out-of-memory handler.
",IsomorphismBreadthFirstSearch,4735878,4471388,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581124.txt,4185464K, pw = 3,DONE,-premise, -pl -pdbgn ,26 18:51:52 CET 2021,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581124.sh,24,2-06:01:55,NN9535K,../../inputs/CliqueNumberSimpleGraphs_3,Error,4G,Fri Dec 24 12:49:56 CET 2021,44,34581124,Not Finished
3,1,1,1,14-00:00:00,"/var/spool/slurmd/job4735879/slurm_script: line 9: 18178 Killed                  /cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search pw = 4 -pl -pdbgn IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581128.txt
slurmstepd: error: Detected 1 oom-kill event(s) in StepId=4735879.batch cgroup. Some of your processes may have been killed by the cgroup out-of-memory handler.
",IsomorphismBreadthFirstSearch,4735879,3758146,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581128.txt,4194272K, pw = 4,DONE, , -pl -pdbgn ,3 01:14:58 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581128.sh,41,9-12:25:01,NN9535K,../../inputs/CliqueNumberSimpleGraphs_3,Error,4G,Fri Dec 24 12:49:56 CET 2021,24,34581128,Not Finished
3,1,1,1,14-00:00:00,"/var/spool/slurmd/job4735880/slurm_script: line 9: 18198 Killed                  /cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search pw = 4 -pl -pdbgn -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581133.txt
slurmstepd: error: Detected 1 oom-kill event(s) in StepId=4735880.batch cgroup. Some of your processes may have been killed by the cgroup out-of-memory handler.
",IsomorphismBreadthFirstSearch,4735880,3758140,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 4  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581133.txt,4194076K, pw = 4,DONE,-premise, -pl -pdbgn ,3 01:17:14 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581133.sh,41,9-12:27:17,NN9535K,../../inputs/CliqueNumberSimpleGraphs_3,Error,4G,Fri Dec 24 12:49:56 CET 2021,24,34581133,Not Finished
3,1,1,1,14-00:00:00,"slurmstepd: error: *** JOB 4735881 ON c3-55 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,4735881,255019,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 5  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581137.txt,802692K, pw = 5,DONE, , -pl -pdbgn ,7 13:28:48 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581137.sh,73,14-00:00:2,NN9535K,../../inputs/CliqueNumberSimpleGraphs_3,Error,4G,Fri Dec 24 12:49:56 CET 2021,18,34581137,Not Finished
3,1,1,1,14-00:00:00,"slurmstepd: error: *** JOB 4735882 ON c3-55 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,4735882,255012,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 5  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581142.txt,803176K, pw = 5,DONE,-premise, -pl -pdbgn ,7 13:28:49 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581142.sh,73,14-00:00:2,NN9535K,../../inputs/CliqueNumberSimpleGraphs_3,Error,4G,Fri Dec 24 12:49:57 CET 2021,18,34581142,Not Finished
3,1,1,1,14-00:00:00,"slurmstepd: error: *** JOB 4735883 ON c3-55 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,4735883,54109,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 6  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581146.txt,221384K, pw = 6,DONE, , -pl -pdbgn ,7 13:28:49 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581146.sh,119,14-00:00:2,NN9535K,../../inputs/CliqueNumberSimpleGraphs_3,Error,4G,Fri Dec 24 12:49:57 CET 2021,16,34581146,Not Finished
3,1,1,1,14-00:00:00,"slurmstepd: error: *** JOB 4735884 ON c3-54 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,4735884,54101,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 6  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581151.txt,218508K, pw = 6,DONE,-premise, -pl -pdbgn ,7 13:28:49 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581151.sh,119,14-00:00:2,NN9535K,../../inputs/CliqueNumberSimpleGraphs_3,Error,4G,Fri Dec 24 12:49:56 CET 2021,16,34581151,Not Finished
3,1,1,1,14-00:00:00,"slurmstepd: error: *** JOB 4735885 ON c3-54 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,4735885,7845,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 7  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581155.txt,40176K, pw = 7,DONE, , -pl -pdbgn ,7 13:28:49 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581155.sh,178,14-00:00:2,NN9535K,../../inputs/CliqueNumberSimpleGraphs_3,Error,4G,Fri Dec 24 12:49:56 CET 2021,14,34581155,Not Finished
3,1,1,1,14-00:00:00,"slurmstepd: error: *** JOB 4735886 ON c3-54 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,4735886,7836,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 7  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581160.txt,40244K, pw = 7,DONE,-premise, -pl -pdbgn ,7 13:28:48 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581160.sh,178,14-00:00:2,NN9535K,../../inputs/CliqueNumberSimpleGraphs_3,Error,4G,Fri Dec 24 12:49:56 CET 2021,14,34581160,Not Finished
4,1,1,1,14-00:00:00,,IsomorphismBreadthFirstSearch,4735887,8,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581164.txt,0, pw = 1,DONE, , -pl -pdbgn ,24 12:49:57 CET 2021,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581164.sh,4,00:00:01,NN9535K,../../inputs/CliqueNumberSimpleGraphs_4,,2G,Fri Dec 24 12:49:56 CET 2021,8,34581164,"Conjecture: Satisfied
"
4,1,1,1,14-00:00:00,,IsomorphismBreadthFirstSearch,4735888,8,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581168.txt,0, pw = 1,DONE,-premise, -pl -pdbgn ,24 12:49:57 CET 2021,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581168.sh,4,00:00:01,NN9535K,../../inputs/CliqueNumberSimpleGraphs_4,,2G,Fri Dec 24 12:49:56 CET 2021,8,34581168,"Conjecture: Satisfied
"
4,1,1,1,14-00:00:00,,IsomorphismBreadthFirstSearch,4735889,64,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581173.txt,0, pw = 2,DONE, , -pl -pdbgn ,24 12:49:58 CET 2021,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581173.sh,8,00:00:01,NN9535K,../../inputs/CliqueNumberSimpleGraphs_4,,2G,Fri Dec 24 12:49:57 CET 2021,19,34581173,"Conjecture: Satisfied
"
4,1,1,1,14-00:00:00,,IsomorphismBreadthFirstSearch,4735890,64,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581177.txt,0, pw = 2,DONE,-premise, -pl -pdbgn ,24 12:49:58 CET 2021,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581177.sh,8,00:00:01,NN9535K,../../inputs/CliqueNumberSimpleGraphs_4,,2G,Fri Dec 24 12:49:56 CET 2021,19,34581177,"Conjecture: Satisfied
"
4,1,1,1,14-00:00:00,,IsomorphismBreadthFirstSearch,4735891,2515,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581181.txt,2380K, pw = 3,DONE, , -pl -pdbgn ,24 12:50:52 CET 2021,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581181.sh,16,00:00:55,NN9535K,../../inputs/CliqueNumberSimpleGraphs_4,,4G,Fri Dec 24 12:49:56 CET 2021,35,34581181,"Conjecture: Satisfied
"
4,1,1,1,14-00:00:00,,IsomorphismBreadthFirstSearch,4735892,2515,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581186.txt,2380K, pw = 3,DONE,-premise, -pl -pdbgn ,24 12:50:52 CET 2021,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581186.sh,16,00:00:56,NN9535K,../../inputs/CliqueNumberSimpleGraphs_4,,4G,Fri Dec 24 12:49:56 CET 2021,35,34581186,"Conjecture: Satisfied
"
4,1,1,1,14-00:00:00,"slurmstepd: error: *** JOB 4735893 ON c3-53 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,4735893,1680971,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581190.txt,4093724K, pw = 4,DONE, , -pl -pdbgn ,7 13:28:49 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581190.sh,35,14-00:00:2,NN9535K,../../inputs/CliqueNumberSimpleGraphs_4,Error,4G,Fri Dec 24 12:49:56 CET 2021,25,34581190,Not Finished
4,1,1,1,14-00:00:00,"slurmstepd: error: *** JOB 4735894 ON c3-53 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,4735894,1680965,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 4  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581194.txt,4094928K, pw = 4,DONE,-premise, -pl -pdbgn ,7 13:28:50 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581194.sh,35,14-00:00:2,NN9535K,../../inputs/CliqueNumberSimpleGraphs_4,Error,4G,Fri Dec 24 12:49:57 CET 2021,25,34581194,Not Finished
4,1,1,1,14-00:00:00,"slurmstepd: error: *** JOB 4735895 ON c3-53 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,4735895,136361,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 5  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581198.txt,896852K, pw = 5,DONE, , -pl -pdbgn ,7 13:28:48 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581198.sh,71,14-00:00:2,NN9535K,../../inputs/CliqueNumberSimpleGraphs_4,Error,4G,Fri Dec 24 12:49:57 CET 2021,18,34581198,Not Finished
4,1,1,1,14-00:00:00,"slurmstepd: error: *** JOB 4735896 ON c3-53 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,4735896,136356,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 5  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581202.txt,897616K, pw = 5,DONE,-premise, -pl -pdbgn ,7 13:28:50 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581202.sh,71,14-00:00:2,NN9535K,../../inputs/CliqueNumberSimpleGraphs_4,Error,4G,Fri Dec 24 12:49:57 CET 2021,18,34581202,Not Finished
4,1,1,1,14-00:00:00,"slurmstepd: error: *** JOB 4735897 ON c3-53 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,4735897,12679,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 6  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581207.txt,216916K, pw = 6,DONE, , -pl -pdbgn ,7 13:28:50 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581207.sh,135,14-00:00:2,NN9535K,../../inputs/CliqueNumberSimpleGraphs_4,Error,4G,Fri Dec 24 12:49:57 CET 2021,15,34581207,Not Finished
4,1,1,1,14-00:00:00,"slurmstepd: error: *** JOB 4735898 ON c3-53 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,4735898,12678,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 6  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581211.txt,216848K, pw = 6,DONE,-premise, -pl -pdbgn ,7 13:28:50 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581211.sh,135,14-00:00:2,NN9535K,../../inputs/CliqueNumberSimpleGraphs_4,Error,4G,Fri Dec 24 12:49:57 CET 2021,15,34581211,Not Finished
4,1,1,1,14-00:00:00,"slurmstepd: error: *** JOB 4735899 ON c3-53 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,4735899,5408,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 7  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581215.txt,129788K, pw = 7,DONE, , -pl -pdbgn ,7 13:28:49 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581215.sh,239,14-00:00:2,NN9535K,../../inputs/CliqueNumberSimpleGraphs_4,Error,4G,Fri Dec 24 12:49:57 CET 2021,14,34581215,Not Finished
