width,status,cpus-per-task,max-rss,ntasks-per-node,time,input,all-states,job-name,script-file,start,finish,iteration, Search Type,HasMultipleEdges,ntasks,Search Options,Flags,command,account,conjecture-status,mem-per-cpu,max-witness-size,elapsed,error-output,job-id,error
 pw = 1,DONE,1,0,1,14-00:00:00,../../inputs/HasMultipleEdges_,7,61768188,/cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-pw/main-script/job-generation/../../jobs/61768188.sh,Wed Jan 19 19:42:21 CET 2022,19 19:42:23 CET 2022,7,IsomorphismBreadthFirstSearch,,1, , -pl -pdbgn ,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   pw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/HasMultipleEdges_.txt > /cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-pw/main-script/job-generation/../../program-outputs/61768188.txt,NN9535K,"Conjecture: Satisfied
",2G,1,00:00:00,,4876328,
 pw = 1,DONE,1,0,1,14-00:00:00,../../inputs/HasMultipleEdges_,4,61768196,/cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-pw/main-script/job-generation/../../jobs/61768196.sh,Wed Jan 19 19:42:26 CET 2022,19 19:42:27 CET 2022,4,IsomorphismBreadthFirstSearch,,1,-premise, -pl -pdbgn ,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   pw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/HasMultipleEdges_.txt > /cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-pw/main-script/job-generation/../../program-outputs/61768196.txt,NN9535K,"Conjecture: Satisfied
",2G,1,00:00:00,,4876329,
 pw = 2,DONE,1,0,1,14-00:00:00,../../inputs/HasMultipleEdges_,12,61768201,/cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-pw/main-script/job-generation/../../jobs/61768201.sh,Wed Jan 19 19:42:31 CET 2022,19 19:42:32 CET 2022,7,IsomorphismBreadthFirstSearch,,1, , -pl -pdbgn ,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   pw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/HasMultipleEdges_.txt > /cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-pw/main-script/job-generation/../../program-outputs/61768201.txt,NN9535K,"Conjecture: Satisfied
",2G,1,00:00:00,,4876332,
 pw = 2,DONE,1,0,1,14-00:00:00,../../inputs/HasMultipleEdges_,8,61768205,/cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-pw/main-script/job-generation/../../jobs/61768205.sh,Wed Jan 19 19:42:36 CET 2022,19 19:42:37 CET 2022,7,IsomorphismBreadthFirstSearch,,1,-premise, -pl -pdbgn ,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   pw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/HasMultipleEdges_.txt > /cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-pw/main-script/job-generation/../../program-outputs/61768205.txt,NN9535K,"Conjecture: Satisfied
",2G,1,00:00:00,,4876333,
 pw = 3,DONE,1,0,1,14-00:00:00,../../inputs/HasMultipleEdges_,24,61768210,/cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-pw/main-script/job-generation/../../jobs/61768210.sh,Wed Jan 19 19:42:41 CET 2022,19 19:42:42 CET 2022,11,IsomorphismBreadthFirstSearch,,1, , -pl -pdbgn ,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   pw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/HasMultipleEdges_.txt > /cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-pw/main-script/job-generation/../../program-outputs/61768210.txt,NN9535K,"Conjecture: Satisfied
",2G,1,00:00:00,,4876334,
 pw = 3,DONE,1,0,1,14-00:00:00,../../inputs/HasMultipleEdges_,19,61768215,/cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-pw/main-script/job-generation/../../jobs/61768215.sh,Wed Jan 19 19:42:46 CET 2022,19 19:42:47 CET 2022,11,IsomorphismBreadthFirstSearch,,1,-premise, -pl -pdbgn ,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   pw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/HasMultipleEdges_.txt > /cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-pw/main-script/job-generation/../../program-outputs/61768215.txt,NN9535K,"Conjecture: Satisfied
",2G,1,00:00:00,,4876335,
 pw = 4,DONE,1,0,1,14-00:00:00,../../inputs/HasMultipleEdges_,59,61768220,/cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-pw/main-script/job-generation/../../jobs/61768220.sh,Wed Jan 19 19:42:53 CET 2022,19 19:42:57 CET 2022,16,IsomorphismBreadthFirstSearch,,1, , -pl -pdbgn ,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   pw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/HasMultipleEdges_.txt > /cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-pw/main-script/job-generation/../../program-outputs/61768220.txt,NN9535K,"Conjecture: Satisfied
",2G,1,00:00:03,,4876338,
 pw = 4,DONE,1,0,1,14-00:00:00,../../inputs/HasMultipleEdges_,53,61768224,/cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-pw/main-script/job-generation/../../jobs/61768224.sh,Wed Jan 19 19:42:53 CET 2022,19 19:42:57 CET 2022,16,IsomorphismBreadthFirstSearch,,1,-premise, -pl -pdbgn ,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   pw = 4  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/HasMultipleEdges_.txt > /cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-pw/main-script/job-generation/../../program-outputs/61768224.txt,NN9535K,"Conjecture: Satisfied
",2G,1,00:00:03,,4876339,
 pw = 5,DONE,1,19960K,1,14-00:00:00,../../inputs/HasMultipleEdges_,216,61768229,/cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-pw/main-script/job-generation/../../jobs/61768229.sh,Wed Jan 19 19:42:53 CET 2022,19 20:08:29 CET 2022,22,IsomorphismBreadthFirstSearch,,1, , -pl -pdbgn ,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   pw = 5  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/HasMultipleEdges_.txt > /cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-pw/main-script/job-generation/../../program-outputs/61768229.txt,NN9535K,"Conjecture: Satisfied
",2G,1,00:25:36,,4876340,
 pw = 5,DONE,1,19976K,1,14-00:00:00,../../inputs/HasMultipleEdges_,209,61768233,/cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-pw/main-script/job-generation/../../jobs/61768233.sh,Wed Jan 19 19:42:53 CET 2022,19 20:08:28 CET 2022,22,IsomorphismBreadthFirstSearch,,1,-premise, -pl -pdbgn ,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   pw = 5  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/HasMultipleEdges_.txt > /cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-pw/main-script/job-generation/../../program-outputs/61768233.txt,NN9535K,"Conjecture: Satisfied
",2G,1,00:25:34,,4876341,
 pw = 6,DONE,1,690984K,1,14-00:00:00,../../inputs/HasMultipleEdges_,573,61768238,/cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-pw/main-script/job-generation/../../jobs/61768238.sh,Wed Jan 19 19:42:54 CET 2022,2 19:43:02 CET 2022,16,IsomorphismBreadthFirstSearch,,1, , -pl -pdbgn ,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   pw = 6  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/HasMultipleEdges_.txt > /cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-pw/main-script/job-generation/../../program-outputs/61768238.txt,NN9535K,Not Finished,2G,1,14-00:00:0,Error,4876342,"slurmstepd: error: *** JOB 4876342 ON c3-56 CANCELLED AT 2022-02-02T19:43:02 DUE TO TIME LIMIT ***
"
 pw = 6,DONE,1,690436K,1,14-00:00:00,../../inputs/HasMultipleEdges_,565,61768243,/cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-pw/main-script/job-generation/../../jobs/61768243.sh,Wed Jan 19 19:42:54 CET 2022,2 19:43:04 CET 2022,16,IsomorphismBreadthFirstSearch,,1,-premise, -pl -pdbgn ,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   pw = 6  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/HasMultipleEdges_.txt > /cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-pw/main-script/job-generation/../../program-outputs/61768243.txt,NN9535K,Not Finished,2G,1,14-00:00:0,Error,4876343,"slurmstepd: error: *** JOB 4876343 ON c3-56 CANCELLED AT 2022-02-02T19:43:02 DUE TO TIME LIMIT ***
"
 pw = 7,DONE,1,685780K,1,14-00:00:00,../../inputs/HasMultipleEdges_,409,61768247,/cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-pw/main-script/job-generation/../../jobs/61768247.sh,Wed Jan 19 19:42:54 CET 2022,2 19:43:04 CET 2022,14,IsomorphismBreadthFirstSearch,,1, , -pl -pdbgn ,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   pw = 7  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/HasMultipleEdges_.txt > /cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-pw/main-script/job-generation/../../program-outputs/61768247.txt,NN9535K,Not Finished,2G,1,14-00:00:0,Error,4876344,"slurmstepd: error: *** JOB 4876344 ON c3-56 CANCELLED AT 2022-02-02T19:43:02 DUE TO TIME LIMIT ***
"
 pw = 7,DONE,1,683952K,1,14-00:00:00,../../inputs/HasMultipleEdges_,400,61768252,/cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-pw/main-script/job-generation/../../jobs/61768252.sh,Wed Jan 19 19:42:54 CET 2022,2 19:43:04 CET 2022,14,IsomorphismBreadthFirstSearch,,1,-premise, -pl -pdbgn ,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   pw = 7  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/HasMultipleEdges_.txt > /cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-pw/main-script/job-generation/../../program-outputs/61768252.txt,NN9535K,Not Finished,2G,1,14-00:00:0,Error,4876345,"slurmstepd: error: *** JOB 4876345 ON c3-56 CANCELLED AT 2022-02-02T19:43:02 DUE TO TIME LIMIT ***
"
