 Search Type,ntasks,cpus-per-task,max-rss,finish,CliqueNumberSimpleGraphs,Flags,Search Options,ntasks-per-node,script-file,elapsed,all-states,conjecture-status,width,time,start,input,account,status,error-output,error,job-id,max-witness-size,iteration,command,job-name,mem-per-cpu
IsomorphismBreadthFirstSearch,1,1,0,24 12:49:58 CET 2021,3, -pl -pdbgn , ,1,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581101.sh,00:00:01,7,"Conjecture: Satisfied
", pw = 1,14-00:00:00,Fri Dec 24 12:49:56 CET 2021,../../inputs/CliqueNumberSimpleGraphs_3,NN9535K,DONE,,,4735873,4,7,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581101.txt,34581101,2G
IsomorphismBreadthFirstSearch,1,1,0,24 12:49:58 CET 2021,3, -pl -pdbgn ,-premise,1,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581106.sh,00:00:01,7,"Conjecture: Satisfied
", pw = 1,14-00:00:00,Fri Dec 24 12:49:56 CET 2021,../../inputs/CliqueNumberSimpleGraphs_3,NN9535K,DONE,,,4735874,4,7,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581106.txt,34581106,2G
IsomorphismBreadthFirstSearch,1,1,0,24 12:49:58 CET 2021,3, -pl -pdbgn , ,1,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581110.sh,00:00:01,42,"Conjecture: Satisfied
", pw = 2,14-00:00:00,Fri Dec 24 12:49:56 CET 2021,../../inputs/CliqueNumberSimpleGraphs_3,NN9535K,DONE,,,4735875,8,16,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581110.txt,34581110,2G
IsomorphismBreadthFirstSearch,1,1,0,24 12:49:58 CET 2021,3, -pl -pdbgn ,-premise,1,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581115.sh,00:00:01,42,"Conjecture: Satisfied
", pw = 2,14-00:00:00,Fri Dec 24 12:49:56 CET 2021,../../inputs/CliqueNumberSimpleGraphs_3,NN9535K,DONE,,,4735876,8,16,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581115.txt,34581115,2G
IsomorphismBreadthFirstSearch,1,1,4188968K,26 18:52:12 CET 2021,3, -pl -pdbgn , ,1,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581119.sh,2-06:02:15,4471393,Not Finished, pw = 3,14-00:00:00,Fri Dec 24 12:49:56 CET 2021,../../inputs/CliqueNumberSimpleGraphs_3,NN9535K,DONE,Error,"/var/spool/slurmd/job4735877/slurm_script: line 9: 18094 Killed                  /cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search pw = 3 -pl -pdbgn IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581119.txt
slurmstepd: error: Detected 1 oom-kill event(s) in StepId=4735877.batch cgroup. Some of your processes may have been killed by the cgroup out-of-memory handler.
",4735877,24,44,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581119.txt,34581119,4G
IsomorphismBreadthFirstSearch,1,1,4185464K,26 18:51:52 CET 2021,3, -pl -pdbgn ,-premise,1,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581124.sh,2-06:01:55,4471388,Not Finished, pw = 3,14-00:00:00,Fri Dec 24 12:49:56 CET 2021,../../inputs/CliqueNumberSimpleGraphs_3,NN9535K,DONE,Error,"/var/spool/slurmd/job4735878/slurm_script: line 9: 18134 Killed                  /cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search pw = 3 -pl -pdbgn -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581124.txt
slurmstepd: error: Detected 1 oom-kill event(s) in StepId=4735878.batch cgroup. Some of your processes may have been killed by the cgroup out-of-memory handler.
",4735878,24,44,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581124.txt,34581124,4G
IsomorphismBreadthFirstSearch,1,1,4194272K,3 01:14:58 CET 2022,3, -pl -pdbgn , ,1,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581128.sh,9-12:25:01,3758146,Not Finished, pw = 4,14-00:00:00,Fri Dec 24 12:49:56 CET 2021,../../inputs/CliqueNumberSimpleGraphs_3,NN9535K,DONE,Error,"/var/spool/slurmd/job4735879/slurm_script: line 9: 18178 Killed                  /cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search pw = 4 -pl -pdbgn IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581128.txt
slurmstepd: error: Detected 1 oom-kill event(s) in StepId=4735879.batch cgroup. Some of your processes may have been killed by the cgroup out-of-memory handler.
",4735879,41,24,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581128.txt,34581128,4G
IsomorphismBreadthFirstSearch,1,1,4194076K,3 01:17:14 CET 2022,3, -pl -pdbgn ,-premise,1,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581133.sh,9-12:27:17,3758140,Not Finished, pw = 4,14-00:00:00,Fri Dec 24 12:49:56 CET 2021,../../inputs/CliqueNumberSimpleGraphs_3,NN9535K,DONE,Error,"/var/spool/slurmd/job4735880/slurm_script: line 9: 18198 Killed                  /cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search pw = 4 -pl -pdbgn -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581133.txt
slurmstepd: error: Detected 1 oom-kill event(s) in StepId=4735880.batch cgroup. Some of your processes may have been killed by the cgroup out-of-memory handler.
",4735880,41,24,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 4  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581133.txt,34581133,4G
IsomorphismBreadthFirstSearch,1,1,802692K,7 13:28:48 CET 2022,3, -pl -pdbgn , ,1,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581137.sh,14-00:00:2,255019,Not Finished, pw = 5,14-00:00:00,Fri Dec 24 12:49:56 CET 2021,../../inputs/CliqueNumberSimpleGraphs_3,NN9535K,DONE,Error,"slurmstepd: error: *** JOB 4735881 ON c3-55 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",4735881,73,18,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 5  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581137.txt,34581137,4G
IsomorphismBreadthFirstSearch,1,1,803176K,7 13:28:49 CET 2022,3, -pl -pdbgn ,-premise,1,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581142.sh,14-00:00:2,255012,Not Finished, pw = 5,14-00:00:00,Fri Dec 24 12:49:57 CET 2021,../../inputs/CliqueNumberSimpleGraphs_3,NN9535K,DONE,Error,"slurmstepd: error: *** JOB 4735882 ON c3-55 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",4735882,73,18,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 5  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581142.txt,34581142,4G
IsomorphismBreadthFirstSearch,1,1,221384K,7 13:28:49 CET 2022,3, -pl -pdbgn , ,1,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581146.sh,14-00:00:2,54109,Not Finished, pw = 6,14-00:00:00,Fri Dec 24 12:49:57 CET 2021,../../inputs/CliqueNumberSimpleGraphs_3,NN9535K,DONE,Error,"slurmstepd: error: *** JOB 4735883 ON c3-55 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",4735883,119,16,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 6  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581146.txt,34581146,4G
IsomorphismBreadthFirstSearch,1,1,218508K,7 13:28:49 CET 2022,3, -pl -pdbgn ,-premise,1,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581151.sh,14-00:00:2,54101,Not Finished, pw = 6,14-00:00:00,Fri Dec 24 12:49:56 CET 2021,../../inputs/CliqueNumberSimpleGraphs_3,NN9535K,DONE,Error,"slurmstepd: error: *** JOB 4735884 ON c3-54 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",4735884,119,16,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 6  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581151.txt,34581151,4G
IsomorphismBreadthFirstSearch,1,1,40176K,7 13:28:49 CET 2022,3, -pl -pdbgn , ,1,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581155.sh,14-00:00:2,7845,Not Finished, pw = 7,14-00:00:00,Fri Dec 24 12:49:56 CET 2021,../../inputs/CliqueNumberSimpleGraphs_3,NN9535K,DONE,Error,"slurmstepd: error: *** JOB 4735885 ON c3-54 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",4735885,178,14,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 7  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581155.txt,34581155,4G
IsomorphismBreadthFirstSearch,1,1,40244K,7 13:28:48 CET 2022,3, -pl -pdbgn ,-premise,1,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581160.sh,14-00:00:2,7836,Not Finished, pw = 7,14-00:00:00,Fri Dec 24 12:49:56 CET 2021,../../inputs/CliqueNumberSimpleGraphs_3,NN9535K,DONE,Error,"slurmstepd: error: *** JOB 4735886 ON c3-54 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",4735886,178,14,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 7  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581160.txt,34581160,4G
IsomorphismBreadthFirstSearch,1,1,0,24 12:49:57 CET 2021,4, -pl -pdbgn , ,1,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581164.sh,00:00:01,8,"Conjecture: Satisfied
", pw = 1,14-00:00:00,Fri Dec 24 12:49:56 CET 2021,../../inputs/CliqueNumberSimpleGraphs_4,NN9535K,DONE,,,4735887,4,8,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581164.txt,34581164,2G
IsomorphismBreadthFirstSearch,1,1,0,24 12:49:57 CET 2021,4, -pl -pdbgn ,-premise,1,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581168.sh,00:00:01,8,"Conjecture: Satisfied
", pw = 1,14-00:00:00,Fri Dec 24 12:49:56 CET 2021,../../inputs/CliqueNumberSimpleGraphs_4,NN9535K,DONE,,,4735888,4,8,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581168.txt,34581168,2G
IsomorphismBreadthFirstSearch,1,1,0,24 12:49:58 CET 2021,4, -pl -pdbgn , ,1,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581173.sh,00:00:01,64,"Conjecture: Satisfied
", pw = 2,14-00:00:00,Fri Dec 24 12:49:57 CET 2021,../../inputs/CliqueNumberSimpleGraphs_4,NN9535K,DONE,,,4735889,8,19,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581173.txt,34581173,2G
IsomorphismBreadthFirstSearch,1,1,0,24 12:49:58 CET 2021,4, -pl -pdbgn ,-premise,1,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581177.sh,00:00:01,64,"Conjecture: Satisfied
", pw = 2,14-00:00:00,Fri Dec 24 12:49:56 CET 2021,../../inputs/CliqueNumberSimpleGraphs_4,NN9535K,DONE,,,4735890,8,19,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581177.txt,34581177,2G
IsomorphismBreadthFirstSearch,1,1,2380K,24 12:50:52 CET 2021,4, -pl -pdbgn , ,1,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581181.sh,00:00:55,2515,"Conjecture: Satisfied
", pw = 3,14-00:00:00,Fri Dec 24 12:49:56 CET 2021,../../inputs/CliqueNumberSimpleGraphs_4,NN9535K,DONE,,,4735891,16,35,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581181.txt,34581181,4G
