command,job-name,finish,CliqueNumberSimpleGraphs,cpus-per-task,MaxDegree,status,error-output,mem-per-cpu,all-states,Flags,iteration,account,input,start,time,Search Options,ntasks,job-id,width,ChromaticNumber,ntasks-per-node, Search Type,error,elapsed,conjecture-status,HasMultipleEdges,max-rss,max-witness-size,script-file
/cluster/home/farhadvadiee/2021/23dec/reed-conjecture-minus-one/Build/./treewidzard -search   tw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../program-outputs/26515578.txt,26515578,6 14:54:02 CET 2022,2,1,2,DONE,Error,8G,8227, -pl -pdbgn ,16,NN9535K,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2,Thu Dec 23 14:15:17 CET 2021,14-00:00:00, ,1,4732750, tw = 1,2,1,IsomorphismBreadthFirstSearch,"slurmstepd: error: *** JOB 4732750 ON c3-55 CANCELLED AT 2022-01-06T14:54:00 DUE TO TIME LIMIT ***
",14-00:00:1,Not Finished,,42328K,"2,1,4,1",/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../jobs/26515578.sh
/cluster/home/farhadvadiee/2021/23dec/reed-conjecture-minus-one/Build/./treewidzard -search   tw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../program-outputs/26515584.txt,26515584,23 14:15:18 CET 2021,2,1,2,DONE,,8G,13, -pl -pdbgn ,8,NN9535K,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2,Thu Dec 23 14:15:17 CET 2021,14-00:00:00,-premise,1,4732751, tw = 1,2,1,IsomorphismBreadthFirstSearch,,00:00:01,"Conjecture: Satisfied
",,0,"2,1,4,1",/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../jobs/26515584.sh
/cluster/home/farhadvadiee/2021/23dec/reed-conjecture-minus-one/Build/./treewidzard -search   tw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../program-outputs/26515589.txt,26515589,23 21:18:28 CET 2021,2,1,2,DONE,,8G,1112, -pl -pdbgn ,8,NN9535K,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2,Thu Dec 23 14:15:17 CET 2021,14-00:00:00, ,1,4732752, tw = 2,2,1,IsomorphismBreadthFirstSearch,"/var/spool/slurmd/job4732752/slurm_script: line 9: 62902 Killed                  /cluster/home/farhadvadiee/2021/23dec/reed-conjecture-minus-one/Build/./treewidzard -search tw = 2 -pl -pdbgn IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../program-outputs/26515589.txt
slurmstepd: error: Detected 1 oom-kill event(s) in StepId=4732752.batch cgroup. Some of your processes may have been killed by the cgroup out-of-memory handler.
",07:03:10,"Conjecture: Not Satisfied
",,8383844K,"4,1,10,1",/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../jobs/26515589.sh
/cluster/home/farhadvadiee/2021/23dec/reed-conjecture-minus-one/Build/./treewidzard -search   tw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../program-outputs/26515594.txt,26515594,23 15:37:49 CET 2021,2,1,2,DONE,,8G,46, -pl -pdbgn ,8,NN9535K,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2,Thu Dec 23 14:15:17 CET 2021,14-00:00:00,-premise,1,4732753, tw = 2,2,1,IsomorphismBreadthFirstSearch,"/var/spool/slurmd/job4732753/slurm_script: line 9: 62909 Killed                  /cluster/home/farhadvadiee/2021/23dec/reed-conjecture-minus-one/Build/./treewidzard -search tw = 2 -pl -pdbgn -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../program-outputs/26515594.txt
slurmstepd: error: Detected 1 oom-kill event(s) in StepId=4732753.batch cgroup. Some of your processes may have been killed by the cgroup out-of-memory handler.
",01:22:32,"Conjecture: Not Satisfied
",,8384320K,"4,1,10,1",/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../jobs/26515594.sh
/cluster/home/farhadvadiee/2021/23dec/reed-conjecture-minus-one/Build/./treewidzard -search   tw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../program-outputs/26515599.txt,26515599,24 23:59:41 CET 2021,2,1,2,DONE,,32G,1686, -pl -pdbgn ,8,NN9535K,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2,Thu Dec 23 14:15:17 CET 2021,14-00:00:00, ,1,4732754, tw = 3,2,1,IsomorphismBreadthFirstSearch,"/var/spool/slurmd/job4732754/slurm_script: line 9: 45656 Killed                  /cluster/home/farhadvadiee/2021/23dec/reed-conjecture-minus-one/Build/./treewidzard -search tw = 3 -pl -pdbgn IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../program-outputs/26515599.txt
slurmstepd: error: Detected 1 oom-kill event(s) in StepId=4732754.batch cgroup. Some of your processes may have been killed by the cgroup out-of-memory handler.
",1-09:44:24,"Conjecture: Not Satisfied
",,33554204K,"8,1,17,1",/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../jobs/26515599.sh
/cluster/home/farhadvadiee/2021/23dec/reed-conjecture-minus-one/Build/./treewidzard -search   tw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../program-outputs/26515605.txt,26515605,23 20:33:38 CET 2021,2,1,2,DONE,,32G,62, -pl -pdbgn ,8,NN9535K,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2,Thu Dec 23 14:15:17 CET 2021,14-00:00:00,-premise,1,4732755, tw = 3,2,1,IsomorphismBreadthFirstSearch,"/var/spool/slurmd/job4732755/slurm_script: line 9: 45672 Killed                  /cluster/home/farhadvadiee/2021/23dec/reed-conjecture-minus-one/Build/./treewidzard -search tw = 3 -pl -pdbgn -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../program-outputs/26515605.txt
slurmstepd: error: Detected 1 oom-kill event(s) in StepId=4732755.batch cgroup. Some of your processes may have been killed by the cgroup out-of-memory handler.
",06:18:20,"Conjecture: Not Satisfied
",,33530588K,"8,1,16,1",/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../jobs/26515605.sh
/cluster/home/farhadvadiee/2021/23dec/reed-conjecture-minus-one/Build/./treewidzard -search   tw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../program-outputs/26515610.txt,26515610,6 14:54:02 CET 2022,2,1,3,DONE,Error,8G,8247, -pl -pdbgn ,16,NN9535K,../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2,Thu Dec 23 14:15:18 CET 2021,14-00:00:00, ,1,4732756, tw = 1,2,1,IsomorphismBreadthFirstSearch,"slurmstepd: error: *** JOB 4732756 ON c3-55 CANCELLED AT 2022-01-06T14:54:00 DUE TO TIME LIMIT ***
",14-00:00:1,Not Finished,,42996K,"2,1,4,1",/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../jobs/26515610.sh
/cluster/home/farhadvadiee/2021/23dec/reed-conjecture-minus-one/Build/./treewidzard -search   tw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../program-outputs/26515615.txt,26515615,23 14:15:18 CET 2021,2,1,3,DONE,,8G,21, -pl -pdbgn ,9,NN9535K,../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2,Thu Dec 23 14:15:17 CET 2021,14-00:00:00,-premise,1,4732757, tw = 1,2,1,IsomorphismBreadthFirstSearch,,00:00:01,"Conjecture: Satisfied
",,0,"2,1,4,1",/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../jobs/26515615.sh
/cluster/home/farhadvadiee/2021/23dec/reed-conjecture-minus-one/Build/./treewidzard -search   tw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../program-outputs/26515620.txt,26515620,23 22:18:53 CET 2021,2,1,3,DONE,,8G,1270, -pl -pdbgn ,8,NN9535K,../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2,Thu Dec 23 14:15:17 CET 2021,14-00:00:00, ,1,4732758, tw = 2,2,1,IsomorphismBreadthFirstSearch,"/var/spool/slurmd/job4732758/slurm_script: line 9: 45678 Killed                  /cluster/home/farhadvadiee/2021/23dec/reed-conjecture-minus-one/Build/./treewidzard -search tw = 2 -pl -pdbgn IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../program-outputs/26515620.txt
slurmstepd: error: Detected 1 oom-kill event(s) in StepId=4732758.batch cgroup. Some of your processes may have been killed by the cgroup out-of-memory handler.
",08:03:36,"Conjecture: Not Satisfied
",,8386504K,"4,1,10,1",/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../jobs/26515620.sh
/cluster/home/farhadvadiee/2021/23dec/reed-conjecture-minus-one/Build/./treewidzard -search   tw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../program-outputs/26515625.txt,26515625,23 16:06:13 CET 2021,2,1,3,DONE,,8G,73, -pl -pdbgn ,8,NN9535K,../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2,Thu Dec 23 14:15:17 CET 2021,14-00:00:00,-premise,1,4732759, tw = 2,2,1,IsomorphismBreadthFirstSearch,"/var/spool/slurmd/job4732759/slurm_script: line 9: 57782 Killed                  /cluster/home/farhadvadiee/2021/23dec/reed-conjecture-minus-one/Build/./treewidzard -search tw = 2 -pl -pdbgn -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../program-outputs/26515625.txt
slurmstepd: error: Detected 1 oom-kill event(s) in StepId=4732759.batch cgroup. Some of your processes may have been killed by the cgroup out-of-memory handler.
",01:50:55,"Conjecture: Not Satisfied
",,8356960K,"4,1,10,1",/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../jobs/26515625.sh
/cluster/home/farhadvadiee/2021/23dec/reed-conjecture-minus-one/Build/./treewidzard -search   tw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../program-outputs/26515630.txt,26515630,25 04:53:47 CET 2021,2,1,3,DONE,,32G,1894, -pl -pdbgn ,8,NN9535K,../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2,Thu Dec 23 14:15:17 CET 2021,14-00:00:00, ,1,4732760, tw = 3,2,1,IsomorphismBreadthFirstSearch,"/var/spool/slurmd/job4732760/slurm_script: line 9: 57815 Killed                  /cluster/home/farhadvadiee/2021/23dec/reed-conjecture-minus-one/Build/./treewidzard -search tw = 3 -pl -pdbgn IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../program-outputs/26515630.txt
slurmstepd: error: Detected 1 oom-kill event(s) in StepId=4732760.batch cgroup. Some of your processes may have been killed by the cgroup out-of-memory handler.
",1-14:38:30,"Conjecture: Not Satisfied
",,33540804K,"8,1,17,1",/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../jobs/26515630.sh
/cluster/home/farhadvadiee/2021/23dec/reed-conjecture-minus-one/Build/./treewidzard -search   tw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../program-outputs/26515635.txt,26515635,23 21:51:07 CET 2021,2,1,3,DONE,,32G,95, -pl -pdbgn ,8,NN9535K,../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2,Thu Dec 23 14:15:17 CET 2021,14-00:00:00,-premise,1,4732761, tw = 3,2,1,IsomorphismBreadthFirstSearch,"/var/spool/slurmd/job4732761/slurm_script: line 9: 57854 Killed                  /cluster/home/farhadvadiee/2021/23dec/reed-conjecture-minus-one/Build/./treewidzard -search tw = 3 -pl -pdbgn -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../program-outputs/26515635.txt
slurmstepd: error: Detected 1 oom-kill event(s) in StepId=4732761.batch cgroup. Some of your processes may have been killed by the cgroup out-of-memory handler.
",07:35:49,"Conjecture: Not Satisfied
",,33538020K,"8,1,16,1",/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../jobs/26515635.sh
/cluster/home/farhadvadiee/2021/23dec/reed-conjecture-minus-one/Build/./treewidzard -search   tw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_4_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../program-outputs/26515639.txt,26515639,6 14:54:02 CET 2022,2,1,4,DONE,Error,8G,8275, -pl -pdbgn ,16,NN9535K,../../inputs/MaxDegree_4_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,Thu Dec 23 14:15:18 CET 2021,14-00:00:00, ,1,4732762, tw = 1,3,1,IsomorphismBreadthFirstSearch,"slurmstepd: error: *** JOB 4732762 ON c3-53 CANCELLED AT 2022-01-06T14:54:00 DUE TO TIME LIMIT ***
",14-00:00:1,Not Finished,,42988K,"2,1,4,1",/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../jobs/26515639.sh
/cluster/home/farhadvadiee/2021/23dec/reed-conjecture-minus-one/Build/./treewidzard -search   tw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_4_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../program-outputs/26515644.txt,26515644,23 14:15:19 CET 2021,2,1,4,DONE,,8G,31, -pl -pdbgn ,9,NN9535K,../../inputs/MaxDegree_4_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,Thu Dec 23 14:15:18 CET 2021,14-00:00:00,-premise,1,4732763, tw = 1,3,1,IsomorphismBreadthFirstSearch,,00:00:02,"Conjecture: Satisfied
",,0,"2,1,4,1",/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../jobs/26515644.sh
/cluster/home/farhadvadiee/2021/23dec/reed-conjecture-minus-one/Build/./treewidzard -search   tw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_4_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../program-outputs/26515648.txt,26515648,6 14:54:02 CET 2022,2,1,4,DONE,Error,8G,27632, -pl -pdbgn ,9,NN9535K,../../inputs/MaxDegree_4_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,Thu Dec 23 14:15:18 CET 2021,14-00:00:00, ,1,4732764, tw = 2,3,1,IsomorphismBreadthFirstSearch,"slurmstepd: error: *** JOB 4732764 ON c3-53 CANCELLED AT 2022-01-06T14:54:00 DUE TO TIME LIMIT ***
",14-00:00:1,Not Finished,,523908K,"5,1,12,1",/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../jobs/26515648.sh
/cluster/home/farhadvadiee/2021/23dec/reed-conjecture-minus-one/Build/./treewidzard -search   tw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_4_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../program-outputs/26515653.txt,26515653,23 14:22:58 CET 2021,2,1,4,DONE,,8G,330, -pl -pdbgn ,11,NN9535K,../../inputs/MaxDegree_4_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,Thu Dec 23 14:15:18 CET 2021,14-00:00:00,-premise,1,4732765, tw = 2,3,1,IsomorphismBreadthFirstSearch,,00:07:41,"Conjecture: Satisfied
",,1480K,"5,1,11,1",/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../jobs/26515653.sh
/cluster/home/farhadvadiee/2021/23dec/reed-conjecture-minus-one/Build/./treewidzard -search   tw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_4_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../program-outputs/26515658.txt,26515658,6 14:54:02 CET 2022,2,1,4,DONE,Error,32G,75297, -pl -pdbgn ,9,NN9535K,../../inputs/MaxDegree_4_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,Thu Dec 23 14:15:17 CET 2021,14-00:00:00, ,1,4732766, tw = 3,3,1,IsomorphismBreadthFirstSearch,"slurmstepd: error: *** JOB 4732766 ON c3-52 CANCELLED AT 2022-01-06T14:54:00 DUE TO TIME LIMIT ***
",14-00:00:1,Not Finished,,749344K,"14,1,19,1",/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../jobs/26515658.sh
/cluster/home/farhadvadiee/2021/23dec/reed-conjecture-minus-one/Build/./treewidzard -search   tw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_4_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../program-outputs/26515663.txt,26515663,6 14:54:02 CET 2022,2,1,4,DONE,Error,32G,4491, -pl -pdbgn ,11,NN9535K,../../inputs/MaxDegree_4_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,Thu Dec 23 14:15:18 CET 2021,14-00:00:00,-premise,1,4732767, tw = 3,3,1,IsomorphismBreadthFirstSearch,"slurmstepd: error: *** JOB 4732767 ON c3-52 CANCELLED AT 2022-01-06T14:54:00 DUE TO TIME LIMIT ***
",14-00:00:1,Not Finished,,7480K,"14,1,21,1",/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-minus-one-tw/main-script/job-generation/../../jobs/26515663.sh
