ntasks,start,script-file,all-states,ChromaticNumber,Flags,error-output,HasMultipleEdges,job-id,MaxDegree,width,job-name,mem-per-cpu, Search Type,iteration,max-witness-size,elapsed,conjecture-status,command,CliqueNumberSimpleGraphs,ntasks-per-node,status,input,account,max-rss,finish,cpus-per-task,Search Options,error,time
1,Thu Dec 23 11:49:14 CET 2021,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../jobs/25642585.sh,29,3, -pl -pdbgn ,,,4731816,2, pw = 1,25642585,2G,IsomorphismBreadthFirstSearch,13,"2,1,4,1",00:00:01,"Conjecture: Satisfied
",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   pw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../program-outputs/25642585.txt,2,1,DONE,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,NN9535K,0,23 11:49:15 CET 2021,1, ,,14-00:00:00
1,Thu Dec 23 11:49:14 CET 2021,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../jobs/25642590.sh,9,3, -pl -pdbgn ,,,4731817,2, pw = 1,25642590,2G,IsomorphismBreadthFirstSearch,9,"2,1,4,1",00:00:01,"Conjecture: Satisfied
",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   pw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../program-outputs/25642590.txt,2,1,DONE,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,NN9535K,0,23 11:49:15 CET 2021,1,-premise,,14-00:00:00
1,Thu Dec 23 11:49:14 CET 2021,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../jobs/25642595.sh,520,3, -pl -pdbgn ,,,4731818,2, pw = 2,25642595,2G,IsomorphismBreadthFirstSearch,26,"5,1,12,1",00:00:04,"Conjecture: Satisfied
",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   pw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../program-outputs/25642595.txt,2,1,DONE,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,NN9535K,0,23 11:49:18 CET 2021,1, ,,14-00:00:00
1,Thu Dec 23 11:49:14 CET 2021,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../jobs/25642600.sh,38,3, -pl -pdbgn ,,,4731819,2, pw = 2,25642600,2G,IsomorphismBreadthFirstSearch,16,"5,1,9,1",00:00:01,"Conjecture: Satisfied
",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   pw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../program-outputs/25642600.txt,2,1,DONE,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,NN9535K,0,23 11:49:17 CET 2021,1,-premise,,14-00:00:00
1,Thu Dec 23 11:49:14 CET 2021,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../jobs/25642604.sh,1031545,3, -pl -pdbgn ,,,4731820,2, pw = 3,25642604,8G,IsomorphismBreadthFirstSearch,58,"14,1,26,1",13:15:30,"Conjecture: Satisfied
",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   pw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../program-outputs/25642604.txt,2,1,DONE,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,NN9535K,1210876K,24 01:04:45 CET 2021,1, ,,14-00:00:00
1,Thu Dec 23 11:49:14 CET 2021,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../jobs/25642609.sh,141,3, -pl -pdbgn ,,,4731821,2, pw = 3,25642609,8G,IsomorphismBreadthFirstSearch,23,"14,1,18,1",00:00:06,"Conjecture: Satisfied
",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   pw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../program-outputs/25642609.txt,2,1,DONE,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,NN9535K,0,23 11:49:21 CET 2021,1,-premise,,14-00:00:00
1,Thu Dec 23 11:49:14 CET 2021,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../jobs/25642614.sh,5143342,3, -pl -pdbgn ,Error,,4731822,2, pw = 4,25642614,16G,IsomorphismBreadthFirstSearch,24,"41,1,41,1",14-00:00:1,Not Finished,/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   pw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../program-outputs/25642614.txt,2,1,DONE,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,NN9535K,7463256K,6 12:27:59 CET 2022,1, ,"slurmstepd: error: *** JOB 4731822 ON c3-55 CANCELLED AT 2022-01-06T12:27:58 DUE TO TIME LIMIT ***
",14-00:00:00
1,Thu Dec 23 11:49:14 CET 2021,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../jobs/25642618.sh,486,3, -pl -pdbgn ,,,4731823,2, pw = 4,25642618,16G,IsomorphismBreadthFirstSearch,30,"41,1,30,1",00:03:41,"Conjecture: Satisfied
",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   pw = 4  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../program-outputs/25642618.txt,2,1,DONE,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,NN9535K,2248K,23 11:52:55 CET 2021,1,-premise,,14-00:00:00
1,Thu Dec 23 11:49:14 CET 2021,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../jobs/25642623.sh,266736,3, -pl -pdbgn ,Error,,4731824,2, pw = 5,25642623,16G,IsomorphismBreadthFirstSearch,18,"122,1,56,1",14-00:00:1,Not Finished,/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   pw = 5  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../program-outputs/25642623.txt,2,1,DONE,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,NN9535K,845768K,6 12:28:00 CET 2022,1, ,"slurmstepd: error: *** JOB 4731824 ON c3-55 CANCELLED AT 2022-01-06T12:27:58 DUE TO TIME LIMIT ***
",14-00:00:00
1,Thu Dec 23 11:49:14 CET 2021,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../jobs/25642627.sh,1571,3, -pl -pdbgn ,,,4731825,2, pw = 5,25642627,16G,IsomorphismBreadthFirstSearch,37,"122,1,47,1",04:03:22,"Conjecture: Satisfied
",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   pw = 5  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../program-outputs/25642627.txt,2,1,DONE,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,NN9535K,8020K,23 15:52:36 CET 2021,1,-premise,,14-00:00:00
1,Thu Dec 23 11:49:14 CET 2021,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../jobs/25642632.sh,37,3, -pl -pdbgn ,,,4731826,3, pw = 1,25642632,2G,IsomorphismBreadthFirstSearch,15,"2,1,4,1",00:00:00,"Conjecture: Satisfied
",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   pw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../program-outputs/25642632.txt,2,1,DONE,../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,NN9535K,0,23 11:49:17 CET 2021,1, ,,14-00:00:00
1,Thu Dec 23 11:49:14 CET 2021,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../jobs/25642637.sh,12,3, -pl -pdbgn ,,,4731827,3, pw = 1,25642637,2G,IsomorphismBreadthFirstSearch,12,"2,1,4,1",00:00:00,"Conjecture: Satisfied
",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   pw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../program-outputs/25642637.txt,2,1,DONE,../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,NN9535K,0,23 11:49:17 CET 2021,1,-premise,,14-00:00:00
1,Thu Dec 23 11:49:14 CET 2021,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../jobs/25642642.sh,945,3, -pl -pdbgn ,,,4731828,3, pw = 2,25642642,2G,IsomorphismBreadthFirstSearch,26,"5,1,12,1",00:00:08,"Conjecture: Satisfied
",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   pw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../program-outputs/25642642.txt,2,1,DONE,../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,NN9535K,0,23 11:49:22 CET 2021,1, ,,14-00:00:00
1,Thu Dec 23 11:49:14 CET 2021,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../jobs/25642647.sh,76,3, -pl -pdbgn ,,,4731829,3, pw = 2,25642647,2G,IsomorphismBreadthFirstSearch,22,"5,1,9,1",00:00:00,"Conjecture: Satisfied
",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   pw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../program-outputs/25642647.txt,2,1,DONE,../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,NN9535K,0,23 11:49:18 CET 2021,1,-premise,,14-00:00:00
1,Thu Dec 23 11:49:15 CET 2021,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../jobs/25642651.sh,1050960,3, -pl -pdbgn ,,,4731830,3, pw = 3,25642651,8G,IsomorphismBreadthFirstSearch,58,"14,1,26,1",13:54:35,"Conjecture: Satisfied
",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   pw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../program-outputs/25642651.txt,2,1,DONE,../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,NN9535K,1234496K,24 01:43:49 CET 2021,1, ,,14-00:00:00
1,Thu Dec 23 11:49:15 CET 2021,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../jobs/25642656.sh,579,3, -pl -pdbgn ,,,4731831,3, pw = 3,25642656,8G,IsomorphismBreadthFirstSearch,32,"14,1,18,1",00:00:24,"Conjecture: Satisfied
",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   pw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../program-outputs/25642656.txt,2,1,DONE,../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,NN9535K,0,23 11:49:38 CET 2021,1,-premise,,14-00:00:00
1,Thu Dec 23 11:49:15 CET 2021,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../jobs/25642660.sh,2996423,3, -pl -pdbgn ,Error,,4731832,3, pw = 4,25642660,16G,IsomorphismBreadthFirstSearch,23,"41,1,41,1",14-00:00:1,Not Finished,/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   pw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../program-outputs/25642660.txt,2,1,DONE,../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,NN9535K,6484044K,6 12:28:00 CET 2022,1, ,"slurmstepd: error: *** JOB 4731832 ON c3-55 CANCELLED AT 2022-01-06T12:27:58 DUE TO TIME LIMIT ***
",14-00:00:00
1,Thu Dec 23 11:49:15 CET 2021,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../jobs/25642664.sh,12375,3, -pl -pdbgn ,,,4731833,3, pw = 4,25642664,16G,IsomorphismBreadthFirstSearch,50,"41,1,32,1",01:44:27,"Conjecture: Satisfied
",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   pw = 4  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../program-outputs/25642664.txt,2,1,DONE,../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,NN9535K,20196K,23 13:33:42 CET 2021,1,-premise,,14-00:00:00
1,Thu Dec 23 11:49:15 CET 2021,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../jobs/25642669.sh,339357,3, -pl -pdbgn ,Error,,4731834,3, pw = 5,25642669,16G,IsomorphismBreadthFirstSearch,18,"122,1,56,1",14-00:00:1,Not Finished,/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   pw = 5  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../program-outputs/25642669.txt,2,1,DONE,../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,NN9535K,1016340K,6 12:27:59 CET 2022,1, ,"slurmstepd: error: *** JOB 4731834 ON c3-55 CANCELLED AT 2022-01-06T12:27:58 DUE TO TIME LIMIT ***
",14-00:00:00
1,Thu Dec 23 11:49:15 CET 2021,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../jobs/25642674.sh,159282,3, -pl -pdbgn ,Error,,4731835,3, pw = 5,25642674,16G,IsomorphismBreadthFirstSearch,32,"122,1,52,1",14-00:00:1,Not Finished,/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   pw = 5  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../program-outputs/25642674.txt,2,1,DONE,../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,NN9535K,397532K,6 12:28:01 CET 2022,1,-premise,"slurmstepd: error: *** JOB 4731835 ON c3-55 CANCELLED AT 2022-01-06T12:27:58 DUE TO TIME LIMIT ***
",14-00:00:00
1,Thu Dec 23 11:49:15 CET 2021,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../jobs/25642678.sh,46,4, -pl -pdbgn ,,,4731836,4, pw = 1,25642678,2G,IsomorphismBreadthFirstSearch,18,"2,1,4,1",00:00:00,"Conjecture: Satisfied
",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   pw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_4_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../program-outputs/25642678.txt,2,1,DONE,../../inputs/MaxDegree_4_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4,NN9535K,0,23 11:49:18 CET 2021,1, ,,14-00:00:00
1,Thu Dec 23 11:49:15 CET 2021,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../jobs/25642682.sh,15,4, -pl -pdbgn ,,,4731837,4, pw = 1,25642682,2G,IsomorphismBreadthFirstSearch,15,"2,1,4,1",00:00:03,"Conjecture: Satisfied
",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   pw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_4_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../program-outputs/25642682.txt,2,1,DONE,../../inputs/MaxDegree_4_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4,NN9535K,0,23 11:49:19 CET 2021,1,-premise,,14-00:00:00
1,Thu Dec 23 11:49:16 CET 2021,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../jobs/25642687.sh,1843,4, -pl -pdbgn ,,,4731838,4, pw = 2,25642687,2G,IsomorphismBreadthFirstSearch,28,"5,1,12,1",00:00:17,"Conjecture: Satisfied
",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   pw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_4_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../program-outputs/25642687.txt,2,1,DONE,../../inputs/MaxDegree_4_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4,NN9535K,0,23 11:49:32 CET 2021,1, ,,14-00:00:00
1,Thu Dec 23 11:49:15 CET 2021,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../jobs/25642691.sh,128,4, -pl -pdbgn ,,,4731839,4, pw = 2,25642691,2G,IsomorphismBreadthFirstSearch,28,"5,1,9,1",00:00:04,"Conjecture: Satisfied
",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   pw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_4_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../program-outputs/25642691.txt,2,1,DONE,../../inputs/MaxDegree_4_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4,NN9535K,0,23 11:49:18 CET 2021,1,-premise,,14-00:00:00
1,Thu Dec 23 11:49:16 CET 2021,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../jobs/25642696.sh,223920,4, -pl -pdbgn ,,,4731840,4, pw = 3,25642696,8G,IsomorphismBreadthFirstSearch,42,"15,1,26,1",04:04:58,"Conjecture: Satisfied
",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   pw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_4_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-pw/main-script/job-generation/../../program-outputs/25642696.txt,2,1,DONE,../../inputs/MaxDegree_4_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4,NN9535K,281908K,23 15:54:12 CET 2021,1, ,,14-00:00:00
